,Job Id,Experience,Qualifications,Salary Range,location,Country,latitude,longitude,Work Type,Company Size,Job Posting Date,Preference,Contact Person,Contact,Job Title,Role,Job Portal,Job Description,Benefits,skills,Responsibilities,Company,Sector,Industry,City,State,Zip,Website,Ticker,CEO
830220,875834340093462,0 to 11 Years,B.Tech,$55K-$100K,Roseau,Dominica,15.4149,-61.3705,Contract,100929,2021-10-14,Male,Lisa Murray,+1-208-472-3289x846,Java Developer,Java Web Application Developer,SimplyHired,"Java Web Application Developers create web applications using Java technologies. They develop user interfaces, integrate backend systems, and ensure the functionality and security of web applications to provide a seamless user experience.","{'Tuition Reimbursement, Stock Options or Equity Grants, Parental Leave, Wellness Programs, Childcare Assistance'}","Web application development Java web frameworks (e.g., Servlets, JSP) Frontend integration User authentication Security protocols Code documentation","Focus on developing Java-based web applications, including frontend and backend components. Create user interfaces and integrate with databases. Ensure web application security and performance.",Tata Consultancy Services (TCS),Information Technology,Information Technology and Services,Mumbai,Maharashtra,400001,www.tcs.com,TCS,Rajesh Gopinathan
382480,1583473165328477,0 to 15 Years,M.Tech,$57K-$105K,Rome,Italy,41.8719,12.5674,Temporary,68255,2022-08-29,Both,Dustin Crawford,468.614.3332,Electrical Engineer,Electronics Hardware Engineer,SimplyHired,"Electronics Hardware Engineers develop and design electronic components and systems, from circuit boards to hardware prototypes, ensuring functionality and performance.","{'Flexible Spending Accounts (FSAs), Relocation Assistance, Legal Assistance, Employee Recognition Programs, Financial Counseling'}",Electronics design PCB layout Embedded systems Circuit analysis Troubleshooting,Develop electronic hardware components and circuits for various applications. Conduct testing and validation of electronic systems. Collaborate with cross-functional teams on product development.,Mirvac Group,Real Estate/Property Development,Real Estate,Sydney,NSW,2000,https://www.mirvac.com/,MGR,Susan Lloyd-Hurwitz
195558,2967514969712585,1 to 12 Years,BBA,$59K-$99K,Monrovia,Liberia,6.4281,-9.4295,Temporary,83393,2023-07-16,Male,Melanie Morris,6805408317,Personal Assistant,Personal Secretary,ZipRecruiter,"Personal Secretaries provide administrative support to individuals or executives. They manage schedules, handle correspondence, and assist with various tasks to ensure efficiency.","{'Casual Dress Code, Social and Recreational Activities, Employee Referral Programs, Health and Wellness Facilities, Life and Disability Insurance'}",Administrative support Calendar management Communication skills Time management Organizational skills Confidentiality,"Act as a personal secretary, managing personal appointments and tasks. Handle correspondence and communication on behalf of the employer. Organize personal schedules and commitments.",Masco,Manufacturing,"Home Equipment, Furnishings",Livonia,Michigan,48152,www.masco.com,MAS,Keith J. Allman
421230,840128053677727,5 to 12 Years,MCA,$57K-$107K,Beirut,Lebanon,33.8547,35.8623,Temporary,97465,2023-01-06,Both,Emily Carter,001-407-635-6449x435,Project Manager,IT Project Manager,USAJOBS,"IT Project Managers plan, execute, and oversee IT projects. They define project scope, allocate resources, manage budgets, and ensure projects are delivered on time and within scope. They also communicate project status and risks to stakeholders.","{'Health Insurance, Retirement Plans, Paid Time Off (PTO), Flexible Work Arrangements, Employee Assistance Programs (EAP)'}",Project management Team leadership Risk management Budgeting Communication skills,"Plan and oversee IT projects, manage project teams, and ensure successful project delivery within scope, time, and budget. Define project objectives and requirements. Monitor project progress and risks.",Avis Budget Group,Rental Cars,"Automotive Retailing, Services",Parsippany,New Jersey,7054,www.avisbudgetgroup.com,CAR,Joseph A. Ferraro
1360658,2680891543459788,1 to 8 Years,MCA,$55K-$93K,Yamoussoukro,Cote d'Ivoire,7.54,-5.5471,Intern,18565,2023-06-17,Male,Courtney Mitchell,908-413-0817,Architect,Sustainable Design Specialist,Snagajob,"Sustainable Design Specialists incorporate eco-friendly practices into architectural designs, promoting energy efficiency and environmental sustainability.","{'Employee Referral Programs, Financial Counseling, Health and Wellness Facilities, Casual Dress Code, Flexible Spending Accounts (FSAs)'}",Sustainable design principles Energy efficiency LEED certification Green building materials Environmental impact assessment,Focus on sustainable and eco-friendly architectural practices. Integrate green building technologies and materials into architectural designs. Advise on energy-efficient building solutions.,Sun Pharmaceutical Industries,Pharmaceuticals,Pharmaceuticals,Mumbai,Maharashtra,400063,https://www.sunpharma.com/,SUNPHARMA,Dilip Shanghvi
72991,967699829773357,3 to 11 Years,MCA,$58K-$117K,London,UK,55.3781,-3.436,Part-Time,92343,2022-04-14,Both,Michael Adams,001-919-713-3569x648,IT Administrator,System Administrator,SimplyHired,"System Administrators manage and maintain computer systems and networks. They handle software installations, security measures, and troubleshooting to ensure system reliability.","{'Flexible Spending Accounts (FSAs), Relocation Assistance, Legal Assistance, Employee Recognition Programs, Financial Counseling'}",System administration Network administration Troubleshooting Security management Server maintenance Backup and recovery,Manage and maintain computer systems and servers. Install and configure software and hardware. Monitor system performance and security.,Lam Research,Semiconductor,Semiconductors and Other Electronic Components,Fremont,California,94538,www.lamresearch.com,LRCX,Timothy M. Archer
203134,1192509380575334,1 to 12 Years,MCA,$56K-$102K,Port Vila,Vanuatu,-15.3767,166.9592,Full-Time,20427,2022-03-10,Female,Jimmy Preston,(323)434-2576,Digital Marketing Specialist,Social Media Manager,Snagajob,"Social Media Managers oversee an organizations social media presence. They create and schedule content, engage with followers, and analyze social media metrics to drive brand awareness and engagement.","{'Life and Disability Insurance, Stock Options or Equity Grants, Employee Recognition Programs, Health Insurance, Social and Recreational Activities'}","Social media platforms (e.g., Facebook, Twitter, Instagram) Content creation and scheduling Social media analytics and insights Community engagement Paid social advertising","Manage and grow social media accounts, create engaging content, and interact with the online community. Develop social media content calendars and strategies. Monitor social media trends and engagement metrics.",Salesforce,Technology,Computer Software,San Francisco,California,94105,www.salesforce.com,CRM,Marc R. Benioff
1582912,2444204778357747,0 to 13 Years,MCA,$61K-$128K,Belgrade,Serbia,44.0165,21.0059,Contract,53725,2023-03-04,Both,Jacob Carey,001-201-352-3749,Data Analyst,Data Scientist,Stack Overflow Jobs,"Data Scientists use their expertise in data analysis and machine learning to extract valuable insights and predictions from data. They build and train models, conduct statistical analysis, and communicate findings to drive data-driven decision-making in the organization.","{'Flexible Spending Accounts (FSAs), Relocation Assistance, Legal Assistance, Employee Recognition Programs, Financial Counseling'}","Machine learning algorithms and libraries (e.g., scikit-learn, TensorFlow, PyTorch) Statistical analysis and modeling Data preprocessing and cleaning Big data technologies (e.g., Hadoop, Spark) Data visualization Strong programming skills (Python, R)",Apply machine learning algorithms and statistical techniques to extract insights from large datasets. Develop predictive models. Conduct data experiments and A/B testing.,Weir Group,Engineering,Engineering/Industrial Equipment,Glasgow,,,www.global.weir,WEIR.L,Jon Stanton
998209,2751095391553049,0 to 12 Years,B.Tech,$63K-$96K,Philipsburg,Sint Maarten (Dutch part),18.0425,-63.0548,Part-Time,49550,2021-11-29,Female,Keith Fuller,8634671303,Market Research Analyst,Market Researcher,Snagajob,"A Market Researcher gathers and analyzes market data to provide insights on consumer behavior, market trends, and competitor activities, aiding in informed business decisions.","{'Legal Assistance, Bonuses and Incentive Programs, Wellness Programs, Employee Discounts, Retirement Plans'}",Market research methodologies Data collection and analysis Industry knowledge,"Research market trends, competitors, and consumer behavior. Identify opportunities for product or service improvement. Analyze and interpret qualitative and quantitative data.",BHP Group,Mining,Mining,Melbourne,VIC,3000,https://www.bhp.com/,BHP,Mike Henry
139353,1944824282537694,1 to 9 Years,B.Com,$61K-$125K,Mexico City,Mexico,23.6345,-102.5528,Intern,77268,2021-10-27,Female,Roberto Walker,416.768.4721,Web Designer,E-commerce Web Designer,USAJOBS,"E-commerce Web Designers specialize in designing and optimizing online stores and shopping websites. They focus on user experience, product presentation, and conversion rate optimization to drive online sales and customer engagement.","{'Childcare Assistance, Paid Time Off (PTO), Relocation Assistance, Flexible Work Arrangements, Professional Development'}","E-commerce web design UX/UI design Shopping cart integration Payment gateway integration Mobile responsiveness E-commerce platforms (e.g., Shopify)","Focus on designing user interfaces for e-commerce websites, including product listings, shopping carts, and checkout processes. Enhance the online shopping experience and conversion rates.",Henry Schein,Healthcare,Wholesalers: Health Care,Melville,New York,11747,www.henryschein.com,HSIC,Stanley M. Bergman
1292678,612145112962563,5 to 8 Years,BA,$61K-$104K,Chisinau,Moldova,47.4116,28.3699,Part-Time,49093,2022-08-21,Both,William Bridges,001-351-300-0079x955,Sales Consultant,Sales Trainer,SimplyHired,"Sales Trainers develop and deliver training programs to sales teams. They teach sales techniques, product knowledge, and communication skills to improve the performance and effectiveness of sales representatives.","{'Tuition Reimbursement, Stock Options or Equity Grants, Parental Leave, Wellness Programs, Childcare Assistance'}",Sales training Sales coaching Training program development Sales techniques Product knowledge Presentation skills,Train and onboard new sales team members. Develop training materials and sales scripts. Conduct sales coaching and performance evaluations.,UltraTech Cement,Cement & Aggregates,Cement and Building Materials,Mumbai,Maharashtra,400093,https://www.ultratechcement.com/,ULTRACEMCO,K.K. Maheshwari
114921,783028883904205,4 to 14 Years,M.Tech,$63K-$118K,Islamabad,Pakistan,30.3753,69.3451,Full-Time,28336,2022-01-06,Male,Dennis Coleman,866.766.9894,UX/UI Designer,Interaction Designer,ZipRecruiter,Interaction Designers specialize in designing user interactions within digital interfaces. They create meaningful and engaging user experiences by considering user behaviors and system responses.,"{'Tuition Reimbursement, Stock Options or Equity Grants, Parental Leave, Wellness Programs, Childcare Assistance'}",Interaction design principles User behavior and psychology Wireframing and prototyping tools Animation and micro-interaction design Collaborative design processes,"Work on interaction design, defining how users interact with digital products and ensuring a seamless user journey. Create wireframes and prototypes to illustrate interactions. Collaborate with developers to implement interaction designs.",Best Buy,Retail,Specialty Retailers: Other,Richfield,Minnesota,55423,www.investors.bestbuy.com,BBY,Corie S. Barry
504041,2924917153423376,2 to 8 Years,BBA,$64K-$106K,Ngerulmud,Palau,7.5149,134.5825,Part-Time,64147,2022-12-16,Both,Melissa Tanner,(413)655-2311,SEM Specialist,Paid Advertising Specialist,SimplyHired,Paid Advertising Specialists manage paid advertising campaigns. They use platforms like Google Ads and social media advertising to reach target audiences and achieve marketing goals.,"{'Casual Dress Code, Social and Recreational Activities, Employee Referral Programs, Health and Wellness Facilities, Life and Disability Insurance'}",Google Ads management PPC campaign optimization Keyword research Ad copywriting A/B testing Conversion tracking,"Manage paid advertising campaigns on various platforms, including social media and display networks. Create ad creatives and targeting strategies. Monitor ad spend and ROI.",Shriram Transport Finance Company,Financial Services,Financial Services,Mumbai,MH,400 013,www.stfc.in,SRTRANSFIN,Umesh Revankar
425846,1439383702941913,1 to 14 Years,PhD,$63K-$102K,Athens,Greece,39.0742,21.8243,Temporary,81189,2023-02-09,Both,Jesse Hall,649.702.5361x1804,Event Manager,Conference Manager,Jobs2Careers,"A Conference Manager coordinates and manages conferences, meetings, and events. They plan logistics, handle budgeting, liaise with vendors, and ensure the smooth execution of events, catering to the needs and expectations of attendees.","{'Flexible Spending Accounts (FSAs), Relocation Assistance, Legal Assistance, Employee Recognition Programs, Financial Counseling'}",Event planning Conference logistics Budget management Vendor coordination Marketing and promotion Client relations,"Specialize in conference and convention planning. Coordinate speaker sessions, exhibitors, and attendee experiences. Oversee event registration and marketing.",Guardian Life Ins. Co. of America,Insurance,"Insurance: Life, Health (Mutual)",New York,New York,10001,www.guardianlife.com,,Andrew J. Mcmahon
192442,1233463930994937,1 to 11 Years,M.Com,$60K-$112K,Mogadishu,Somalia,5.1521,46.1996,Full-Time,21284,2023-01-18,Both,William Smith,001-907-848-2583x05041,Registered Nurse,Charge Nurse,Stack Overflow Jobs,"A Charge Nurse leads and supervises nursing staff, coordinates patient care, and ensures efficient operations within a healthcare unit or department.","{'Employee Referral Programs, Financial Counseling, Health and Wellness Facilities, Casual Dress Code, Flexible Spending Accounts (FSAs)'}",Nursing leadership Charge nurse responsibilities Team coordination,Supervise nursing staff and allocate patient assignments. Ensure compliance with nursing standards and protocols. Act as a resource for nursing-related issues.,Performance Food Group,Food and Beverage,Wholesalers: Food and Grocery,Richmond,Virginia,23238,www.pfgc.com,PFGC,George L. Holm
591303,1951146883091900,2 to 11 Years,PhD,$60K-$86K,Andorra la Vella,Andorra,42.5063,1.5218,Intern,129404,2022-10-22,Male,Juan Blackburn,254-872-5287x70374,Marketing Analyst,Data Analyst,Stack Overflow Jobs,"Analyze data sets, generate insights, and provide data-driven recommendations to inform business decisions.","{'Health Insurance, Retirement Plans, Flexible Work Arrangements, Employee Assistance Programs (EAP), Bonuses and Incentive Programs'}","Data analysis tools (e.g., SQL, Python) Data visualization tools (e.g., Tableau, Power BI) Statistical analysis Data cleansing and transformation Data modeling Communication of data insights Problem-solving Attention to detail Business acumen",Analyze marketing data to measure campaign performance and ROI. Provide insights for marketing strategy adjustments. Create data visualizations and dashboards.,Vulcan Materials,Materials,"Building Materials, Glass",Birmingham,Alabama,35242,www.vulcanmaterials.com,VMC,Thomas Hill
426539,915763857230740,0 to 12 Years,B.Tech,$55K-$81K,Palikir,"Micronesia, Fed. Sts.",7.4256,150.5508,Contract,67094,2023-05-14,Male,Andrew Lewis,(847)347-0565x5071,Nurse Practitioner,Primary Care Nurse Practitioner,Monster,"Primary Care Nurse Practitioners provide essential healthcare services, diagnosing and treating common medical conditions, and offering preventive care to patients.","{'Legal Assistance, Bonuses and Incentive Programs, Wellness Programs, Employee Discounts, Retirement Plans'}",Nursing care Patient assessment Health promotion Medication administration Electronic health records (EHR),"Provide comprehensive primary healthcare services, including assessments, diagnoses, and treatments. Educate patients on health management and prevention. Prescribe medications and develop care plans.","Revlon, Inc.",Beauty/Cosmetics,Consumer Products - Cosmetics,New York,NY,10017,https://www.revlon.com/,REV,Debra G. Perelman
632089,2935747456415633,4 to 12 Years,BA,$65K-$129K,Lilongwe,Malawi,-13.2543,34.3015,Contract,61802,2023-08-11,Female,Ashley White,(717)963-3938,Network Engineer,Network Security Engineer,ZipRecruiter,"Network Security Engineers focus on protecting network systems from cyber threats. They implement security measures, monitor network traffic, and respond to security incidents to safeguard the organizations data.","{'Tuition Reimbursement, Stock Options or Equity Grants, Parental Leave, Wellness Programs, Childcare Assistance'}",Network security protocols and technologies Firewalls and intrusion detection systems Vulnerability assessment and penetration testing Security policy development and enforcement Incident response and recovery,"Focus on network security, implement security measures, and protect against cyber threats. Conduct security audits and vulnerability assessments. Respond to security incidents and breaches.",Playtech,Gambling and Gaming,Gambling/Gaming,Douglas,Isle of Man,IM3 1DZ,https://www.playtech.com/,PTEC,Mor Weizer
915752,2661195828732293,3 to 15 Years,MCA,$55K-$91K,Kinshasa,Democratic Republic Of Congo,-4.0383,21.7587,Contract,120335,2023-01-24,Both,James Wood,8303739197,Social Media Manager,Social Media Analyst,Stack Overflow Jobs,"Social Media Analysts analyze social media data and metrics to provide insights and recommendations for improving social media strategies. They track performance, identify trends, and support data-driven decision-making.","{'Childcare Assistance, Paid Time Off (PTO), Relocation Assistance, Flexible Work Arrangements, Professional Development'}","Social media analytics tools (e.g., Google Analytics, Facebook Insights) Data analysis and reporting Social media ROI measurement Competitive analysis Trend identification",Analyze social media data and user behavior to generate actionable insights. Track key performance indicators (KPIs) and recommend optimization strategies. Stay updated on social media trends and algorithm changes.,Maruti Suzuki India,Automotive,Automotive,Gurugram,Haryana,122015,www.marutisuzuki.com,MARUTI,Kenichi Ayukawa
1279063,172886657935088,4 to 14 Years,PhD,$57K-$125K,San Juan,Puerto Rico,18.2208,-66.5901,Full-Time,35594,2022-05-18,Both,Kelly Archer,+1-402-384-8429,Art Teacher,Art Education Coordinator,Jobs2Careers,"An Art Education Coordinator plans and manages art education programs, curriculum development, and educational outreach to promote art appreciation and learning within communities.","{'Life and Disability Insurance, Stock Options or Equity Grants, Employee Recognition Programs, Health Insurance, Social and Recreational Activities'}",Art education curriculum Program development Teacher training Communication skills Artistic expertise,"Coordinate art education programs, curriculum development, and student assessments. Collaborate with other educators and schools. Organize art exhibitions and showcases.",Mahindra & Mahindra,Automotive,Automotive,Mumbai,Maharashtra,400018,www.mahindra.com,M&M,Anish Shah
1228450,2688553184262494,2 to 9 Years,M.Tech,$55K-$93K,Mexico City,Mexico,23.6345,-102.5528,Intern,88680,2022-01-27,Both,Jason Evans,(325)618-2963x5822,HR Manager,HR Compliance Specialist,Snagajob,"An HR Compliance Specialist ensures adherence to employment laws and regulations, conducts audits, and provides guidance to maintain legal compliance within the organization.","{'Flexible Spending Accounts (FSAs), Relocation Assistance, Legal Assistance, Employee Recognition Programs, Financial Counseling'}",Employment law knowledge Compliance management Auditing skills Employee relations Communication skills,Ensure HR policies and practices comply with legal and regulatory requirements. Conduct audits and investigations. Provide guidance on compliance issues.,Universal Health Services,Healthcare Services,Health Care: Medical Facilities,King of Prussia,Pennsylvania,19406,www.uhs.com,UHS,Marc D. Miller
738,2414840055094733,1 to 11 Years,BBA,$64K-$116K,Helsinki,Finland,61.9241,25.7482,Part-Time,130132,2023-03-15,Male,Priscilla Rose,001-548-453-8780x981,Litigation Attorney,Family Law Attorney,Indeed,"Family Law Attorneys deal with legal matters related to family relationships. They handle cases like divorce, child custody, adoption, and domestic disputes to provide legal guidance.","{'Employee Referral Programs, Financial Counseling, Health and Wellness Facilities, Casual Dress Code, Flexible Spending Accounts (FSAs)'}",Family law Divorce proceedings Child custody Mediation Legal counseling Court representation,"Specialize in family law matters, such as divorce, child custody, and adoption. Advocate for clients in family court proceedings. Offer legal advice and mediation services.",Comcast,Telecommunications,Telecommunications,Philadelphia,Pennsylvania,19103,www.comcastcorporation.com,CMCSA,Brian L. Roberts
1053301,2014959827846903,3 to 9 Years,BBA,$64K-$98K,Phnom Penh,Cambodia,12.5657,104.9909,Part-Time,47431,2023-05-31,Both,Ronald Mitchell,+1-255-235-6542x91228,Marketing Specialist,Marketing Analytics Specialist,FlexJobs,"Marketing Analytics Specialists analyze marketing data to derive insights and inform marketing strategies. They use tools like Google Analytics and data analysis software to track campaign performance, customer behavior, and market trends.","{'Flexible Spending Accounts (FSAs), Relocation Assistance, Legal Assistance, Employee Recognition Programs, Financial Counseling'}",Marketing analytics Data analysis Data visualization Market research Google Analytics Marketing automation Reporting tools,Analyze marketing data and generate insights to drive decision-making. Use tools like Google Analytics and marketing automation platforms. Report on key performance metrics and ROI.,Honeywell International,Conglomerate,"Electronics, Electrical Equip.",Charlotte,North Carolina,28202,www.honeywell.com,HON,Vimal Kapur
387648,460713408066947,0 to 10 Years,B.Tech,$64K-$119K,Manila,Philippines,12.879721,121.774017,Part-Time,102488,2022-07-12,Both,Chris Watson,407-920-6108,Account Executive,Sales Account Executive,FlexJobs,"A Sales Account Executive is responsible for acquiring and managing business accounts. They identify sales opportunities, negotiate contracts, and meet revenue targets.","{'Employee Referral Programs, Financial Counseling, Health and Wellness Facilities, Casual Dress Code, Flexible Spending Accounts (FSAs)'}",Sales strategies and tactics Account management Relationship building Sales forecasting Industry and product knowledge,Identify and pursue sales opportunities with new and existing clients. Build and maintain client relationships. Meet or exceed sales targets and quotas.,Incitec Pivot,Chemicals,Chemicals,Melbourne,VIC,3000,https://www.incitecpivot.com.au/,IPL,Jeanne Johns
27540,1414352244530664,1 to 13 Years,MCA,$62K-$130K,Mbabane,Eswatini,26.5225,31.4659,Full-Time,109461,2022-07-19,Male,Rebekah Baker,468-458-6841,Architect,Sustainable Design Specialist,SimplyHired,"Sustainable Design Specialists incorporate eco-friendly practices into architectural designs, promoting energy efficiency and environmental sustainability.","{'Legal Assistance, Bonuses and Incentive Programs, Wellness Programs, Employee Discounts, Retirement Plans'}",Sustainable design principles Energy efficiency LEED certification Green building materials Environmental impact assessment,Focus on sustainable and eco-friendly architectural practices. Integrate green building technologies and materials into architectural designs. Advise on energy-efficient building solutions.,Sonic Automotive,Automotive,"Automotive Retailing, Services",Charlotte,North Carolina,28211,www.sonicautomotive.com,SAH,David Bruton Smith
